,Raw name,Mapped name,Score
0,accesos normalizados sl,accesos normalizados sl,1.0
1,altaix electronica  sal,altaix electronica  sal,1.0
2,antala locks  accesoris sl,antala locks  accesoris sl,1.0
3,anteral sl,anteral sl,1.0
4,arquimea ingenieria  sl,arquimea ingenieria  sl,1.0
5,a.d environmental services ltd,a.d environmental services ltd,1.0
6,a.l goodbody,a.l goodbody,1.0
7,a.p  lithos,a.p  lithos,1.0
8,a.t stationers private limited,a.t stationers private limited,1.0
9,a.a logistikequipment,a.a logistikequipment,1.0
10,a.a z consulting,a.a logistikequipment,0.6032388663967612
11,a and m portable inc,a and m portable inc,1.0
12,a arnegger gmbh,a arnegger gmbh,1.0
13,a.b fluid power ltd,a.b fluid power ltd,1.0
14,a bis z allround,a bis z allround,0.5
15,a.e petsche,a.e petsche,1.0
16,a.e petsche uk limited,a.e petsche,1.0
17,a et p  lithos,a et p  lithos,0.6504672897196262
18,a foubert visserie sa,a foubert visserie sa,1.0
19,a joy wallace,a joy wallace,1.0
20,a.l dalton,a.l goodbody,0.808695652173913
21,a.l movers pvt ltd,a.l movers pvt ltd,0.56957928802589
22,a la une,a la une,1.0
23,a lambrue bedachungs gmbh,a lambrue bedachungs gmbh,1.0
24,a latter company ltd,a latter company ltd,1.0
25,a.m best company inc,a latter company ltd,0.8942307692307693
26,a mai international,a mai international,1.0
27,a metrologie,a metrologie,1.0
28,a novo telecom services,a novo telecom services,1.0
29,a paris production,a paris production,1.0
30,a pasari  associates,a pasari  associates,1.0
31,a pesd,a pesd,1.0
32,a plus,a plus,1.0
33,a plus avionics corp,a plus avionics corp,0.5745212323064113
34,a plus metrologie,a plus,0.6988035702981579
35,a print,a print,1.0
36,a proposito internacional desarollo,a proposito internacional desarollo,1.0
37,a.r global services consultants,a.r global services consultants,1.0
38,a.r t advanced realtime,a.r t advanced realtime,0.5745341614906833
39,a.t kearney limited,a.t kearney limited,0.6081081081081081
40,a.v mudrana,a.v mudrana,1.0
41,a.v optics,a.v mudrana,0.6448598130841121
42,a.v optics limited,a.v mudrana,0.588121254846669
43,a.v optics ltd,a.v mudrana,0.6135163674762407
44,a weiss erben gmbh,a weiss erben gmbh,1.0
45,a werner gmbh,a werner gmbh,1.0
46,a.z consulting,a.z consulting,1.0
47,a.z pesage,a.z consulting,0.75
48,aa asesores internacionales sc,aa asesores internacionales sc,1.0
49,aa logistikequipment,aa asesores internacionales sc,0.8674501636417733
50,ab engineering mechanical service division limited,ab engineering mechanical service division limited,1.0
51,ad environmental services ltd,ad environmental services ltd,0.8319185059422751
52,ae logistik gmbh  co kg,ae logistik gmbh  co kg,1.0
53,ao hotel and hostel,ao hotel and hostel,1.0
54,ao lieferservice ek,ao lieferservice ek,0.6292134831460674
55,as schneider gastronomiekonzepte,as schneider gastronomiekonzepte,1.0
56,at manufacturing gmbh,at manufacturing gmbh,1.0
57,at schmid gbr messeorganisation,at manufacturing gmbh,0.6164383561643836
58,at unternehmensgruppe,at manufacturing gmbh,0.9645852749301025
59,a millitzer brandschutz und,a millitzer brandschutz und,1.0
60,a woehrl spezialtiefbau gmbh,a woehrl spezialtiefbau gmbh,1.0
61,at schmid gbr messeorganisa,at manufacturing gmbh,0.6082848837209303
62,aei,aei,1.0
63,aen,aen,1.0
64,afferguson  co,afferguson  co,1.0
65,ageo geometres experts sas,ageo geometres experts sas,1.0
66,amo finance,amo finance,1.0
67,at kearney,at manufacturing gmbh,0.8036180529653114
68,at kearney gmbh,at manufacturing gmbh,0.7328237718996908
69,aw niemeyer gmbh,aw niemeyer gmbh,1.0
70,a3,a3,1.0
71,a metrologie,a metrologie,1.0
72,a metrologie sas,a metrologie,1.0
73,ametrologie,ametrologie,1.0
74,as frucht gmbh  co kg,as schneider gastronomiekonzepte,0.9791827293754819
75,ãârztekammer berlin,ãârztekammer berlin,1.0
76,ãâudea seguridad de la informaciãânsl,ãâudea seguridad de la informaciãânsl,1.0
77,ãrztebedarf,ãrztebedarf,1.0
78,ãrztekammer berlin,ãârztekammer berlin,0.8571428571428571
79,a1 bootyachtcenter,a1 bootyachtcenter,1.0
80,a1 microwave ltd,a1 bootyachtcenter,0.5625
81,a2 research ab,ab engineering mechanical service division limited,0.835509138381201
82,a2b global media,a2b global media,0.5987261146496815
83,a2bk,a2bk,1.0
84,a2c controle,a2c controle,1.0
85,a2com,a2com,1.0
86,a2com formation,a2com formation,0.8235294117647058
87,a2e autonomee,a2e autonomee,1.0
88,a2f advanced advisor for the f,a2f advanced advisor for the f,1.0
89,a2f technologies,a2f advanced advisor for the f,1.0
90,a2ms,a2ms,1.0
91,a2r electronique,a2r electronique,1.0
92,a3m designs ltd,a3m designs ltd,1.0
93,a3ts association de traiement,a3ts association de traiement,1.0
94,aa access partnership,aa access partnership,0.5012118274357731
95,aa barkassenexkusionen,aa asesores internacionales sc,0.9130434782608695
96,aa calibration services llc,aa asesores internacionales sc,0.7801047120418848
97,aa chear,aa asesores internacionales sc,0.9443254817987152
98,aa systel sas,aa asesores internacionales sc,0.9162956366874444
99,aãâro xv,aãâro xv,1.0
100,aãfalg gaspard partner,aãfalg gaspard partner,1.0
101,aãro traduction,aãro traduction,1.0
102,aaa,aaa,1.0
103,aaa dornier technology co ltd,aaa,0.9399684044233807
104,aaa formation,a2com formation,0.6359641507165849
105,aaa gmbh,aaa,1.0
106,aaa miami locksmith inc,aaa,0.8698727015558698
107,aaaf,aaaf,1.0
108,aac microtec ab,ab engineering mechanical service division limited,0.9615384615384616
109,aachen technical and management,aachen technical and management,1.0
110,aachen univerisity,aachen technical and management,0.7747252747252746
111,aage christensen as,as schneider gastronomiekonzepte,0.9468664850136239
112,aai,aai,1.0
113,aai  atlantique automatismes incendie,aai,0.5609756097560975
114,aai atlantique automatismes incendi,aai,0.5788306451612902
115,aai atlantique automatismes incendie,aai,0.5609756097560975
116,aai coporation,aai,0.9391304347826086
117,aai corporation,aai,0.5732758620689655
118,aai technologies,aai,1.0
119,aai technologies ltd,aai,1.0
120,aaitechnologies limited,aaitechnologies limited,1.0
121,aalboorg university,aalboorg university,1.0
122,aalborg university,aalboorg university,0.9013726487036096
123,aalco metall,aalco metall,1.0
124,aalcometall gmbh,aalcometall gmbh,1.0
125,aalernhues hotel ohg,ao hotel and hostel,0.9173754556500607
126,aalto university,aalboorg university,0.8295341922695738
127,aalto university foundation sr,aalboorg university,0.5973741794310722
128,aamc,aamc,1.0
129,aamc australia,aamc australia,0.6043956043956044
130,aan bv,aan bv,1.0
131,aanderaa data instruments as,as schneider gastronomiekonzepte,0.7142857142857143
132,aapa  association of asia pacific,aapa  association of asia pacific,1.0
133,aapg europe trading ltd,aapg europe trading ltd,1.0
134,aapva,aapva,1.0
135,aar defense systems  logistics uk,aar defense systems  logistics uk,1.0
136,aar parts trading inc,aapg europe trading ltd,0.5894250780437045
137,aaradhana buildtech,aaradhana buildtech,1.0
138,aardman animations ltd,aardman animations ltd,1.0
139,aaron  partners llp,aaron  partners llp,1.0
140,aaron communication,aaron communication,0.6636568848758465
141,aaronia ag,aaronia ag,1.0
142,aarpi larrouycastera  cadiou,aarpi larrouycastera  cadiou,1.0
143,aarpi lombard semelaigne dupuy,aarpi lombard semelaigne dupuy,0.5096153846153847
144,aarse,aarse,1.0
145,aas,aas,1.0
146,aas altlasten und asbestsanierung,aas,0.8731343283582089
147,aas gmbh,aas,1.0
148,aas seminare,aas,0.7
149,aasensio mudanzas sl,aasensio mudanzas sl,1.0
150,aasset security gmbh,aasset security gmbh,1.0
151,aatc,aatc,1.0
152,ab anlagenplanung gmbh,ab engineering mechanical service division limited,0.9757887013939839
153,ab aqua medic gmbh,ab engineering mechanical service division limited,0.873015873015873
154,ab associates,ab engineering mechanical service division limited,0.8265698419478856
155,ab conseil,ab engineering mechanical service division limited,0.8246753246753247
156,ab fluid power ltd,ab engineering mechanical service division limited,0.7719577485168572
157,ab logisting,ab engineering mechanical service division limited,0.956973293768546
158,ab logisting sl,ab engineering mechanical service division limited,0.9488725872412201
159,ab millimetre,ab engineering mechanical service division limited,0.9763313609467456
160,ab servicios selecta espaãâa s.l,ab engineering mechanical service division limited,0.5708582834331337
161,ab servicios selecta espana,ab engineering mechanical service division limited,0.6001197817012142
162,ab servicos selecta espana slu,ab engineering mechanical service division limited,0.5586589756486235
163,ab solving oy,ab engineering mechanical service division limited,0.9433962264150944
164,aba,aba,1.0
165,aba ag sas,aba,1.0
166,aba arbeitsgemeinschaft fuer betrieb,aba,0.6121673003802282
167,aba ev arbeitsgemeinschaft,aba,0.5300989777705662
168,aba ev arbeitsgemeinschaft fuer,aba,0.5760111576011158
169,aba ev arbeitsgemeinschaft fãr,aba,0.4042730894685162
170,aba ev arbeitsgemeinschaft fuer,aba,0.5760111576011158
171,abac,abac,1.0
172,abaca press,abaca press,1.0
173,abaco systems limited,abaco systems limited,1.0
174,abaco systems ltd,abaco systems limited,1.0
175,abadie aluminium sarl,abadie aluminium sarl,1.0
176,abalia solutions sl,abalia solutions sl,1.0
177,abaques,abaques,1.0
178,abaques audiovisuel,abaques,0.5877862595419847
179,abaques sas,abaques,1.0
180,abaqus inc,abaqus inc,1.0
181,abaris training,abaris training,1.0
182,abaris training resources inc,abaris training,0.8811188811188811
183,abast systems and solutions sl,abast systems and solutions sl,1.0
184,abast systems sa,abast systems and solutions sl,1.0
185,abb,abb,1.0
186,abb automation,abb,0.5294117647058824
187,abb automation gmbh,abb,0.5576546990885944
188,abb automation products gmbh,abb,0.45786878655870317
189,abb electrical products,abb,0.47338551859099803
190,abb france,abb,1.0
191,abb stotzkontakt gmbh,abb,0.9459459459459459
