,Raw name,Mapped name,Guess
0,accesos normalizados sl,,accesos normalizados sl
1,altaix electronica  sal,,altaix electronica  sal
2,antala locks  accesoris sl,,accesos normalizados sl
3,anteral sl,,accesos normalizados sl
4,arquimea ingenieria  sl,,accesos normalizados sl
5,a  d environmental services ltd,,a  d environmental services ltd
6,a  l goodbody,,a  d environmental services ltd
7,a  p  lithos,,a  d environmental services ltd
8,a  t stationers private limited,,a  t stationers private limited
9,a a logistikequipment,,a  d environmental services ltd
10,a a z consulting,,a  d environmental services ltd
11,a and m portable inc,,a and m portable inc
12,a arnegger gmbh,,a arnegger gmbh
13,a b fluid power ltd,,a  d environmental services ltd
14,a bis z allround,,a  d environmental services ltd
15,a e petsche,,a  d environmental services ltd
16,a e petsche uk limited,,a  t stationers private limited
17,a et p  lithos,,a  d environmental services ltd
18,a foubert visserie sa,,a foubert visserie sa
19,a joy wallace,,a  d environmental services ltd
20,a l dalton,,a  d environmental services ltd
21,a l movers pvt ltd,,a  d environmental services ltd
22,a la une,,a  d environmental services ltd
23,a lambrue bedachungs gmbh,,a arnegger gmbh
24,a latter company ltd,,a  d environmental services ltd
25,a m best company inc,,a and m portable inc
26,a mai international,,a  d environmental services ltd
27,a metrologie,,a  d environmental services ltd
28,a novo telecom services,,a  d environmental services ltd
29,a paris production,,a  d environmental services ltd
30,a pasari  associates,,a  d environmental services ltd
31,a pesd,,a  d environmental services ltd
32,a plus,,a  d environmental services ltd
33,a plus avionics corp,,a  d environmental services ltd
34,a plus metrologie,,a  d environmental services ltd
35,a print,,a  d environmental services ltd
36,a proposito internacional desarollo,,a  d environmental services ltd
37,a r global services consultants,,a  d environmental services ltd
38,a r t advanced realtime,,a  d environmental services ltd
39,a t kearney limited,,a  t stationers private limited
40,a v mudrana,,a  d environmental services ltd
41,a v optics,,a  d environmental services ltd
42,a v optics limited,,a  t stationers private limited
43,a v optics ltd,,a  d environmental services ltd
44,a weiss erben gmbh,,a arnegger gmbh
45,a werner gmbh,,a arnegger gmbh
46,a z consulting,,a  d environmental services ltd
47,a z pesage,,a  d environmental services ltd
48,aa asesores internacionales sc,,aa asesores internacionales sc
49,aa logistikequipment,,aa asesores internacionales sc
50,ab engineering mechanical service division limited,,ab engineering mechanical service division limited
51,ad environmental services ltd,,a  d environmental services ltd
52,ae logistik gmbh  co kg,,a arnegger gmbh
