Raw name,Mapped name,Normalized name,Language
accesos normalizados sl,,accesos normalizados sl,es
altaix electronica  sal,,altaix electronica  sal,ca
antala locks  accesoris sl,,antala locks  accesoris sl,es
anteral sl,,anteral sl,it
arquimea ingenieria  sl,,arquimea ingenieria  sl,ca
a  d environmental services ltd,,a  d environmental services ltd,ca
a  l goodbody,,a  l goodbody,cy
a  p  lithos,,a  p  lithos,en
a  t stationers private limited,,a  t stationers private limited,it
a a logistikequipment,,a a logistikequipment,ca
a a z consulting,,a a z consulting,ro
a and m portable inc,,a and m portable inc,en
a arnegger gmbh,,a arnegger gmbh,no
a b fluid power ltd,,a b fluid power ltd,en
a bis z allround,,a bis z allround,en
a e petsche,,a e petsche,it
a e petsche uk limited,,a e petsche uk limited,it
a et p  lithos,,a et p  lithos,en
a foubert visserie sa,,a foubert visserie sa,no
a joy wallace,,a joy wallace,so
a l dalton,,a l dalton,it
a l movers pvt ltd,,a l movers pvt ltd,ca
a la une,,a la une,it
a lambrue bedachungs gmbh,,a lambrue bedachungs gmbh,ca
a latter company ltd,,a latter company ltd,ca
a m best company inc,,a m best company inc,en
a mai international,,a mai international,it
a metrologie,,a metrologie,it
a novo telecom services,,a novo telecom services,pt
a paris production,,a paris production,fr
a pasari  associates,,a pasari  associates,it
a pesd,,a pesd,es
a plus,,a plus,fr
a plus avionics corp,,a plus avionics corp,ca
a plus metrologie,,a plus metrologie,lt
a print,,a print,ro
a proposito internacional desarollo,,a proposito internacional desarollo,es
a r global services consultants,,a r global services consultants,ca
a r t advanced realtime,,a r t advanced realtime,en
a t kearney limited,,a t kearney limited,en
a v mudrana,,a v mudrana,sk
a v optics,,a v optics,sk
a v optics limited,,a v optics limited,en
a v optics ltd,,a v optics ltd,ca
a weiss erben gmbh,,a weiss erben gmbh,de
a werner gmbh,,a werner gmbh,en
a z consulting,,a z consulting,ro
a z pesage,,a z pesage,pt
aa asesores internacionales sc,,aa asesores internacionales sc,es
aa logistikequipment,,aa logistikequipment,et
ab engineering mechanical service division limited,,ab engineering mechanical service division limited,en
ad environmental services ltd,,ad environmental services ltd,es
ae logistik gmbh  co kg,,ae logistik gmbh  co kg,et
ao hotel and hostel,,ao hotel and hostel,en
ao lieferservice ek,,ao lieferservice ek,en
as schneider gastronomiekonzepte,,as schneider gastronomiekonzepte,de
at manufacturing gmbh,,at manufacturing gmbh,tl
at schmid gbr messeorganisation,,at schmid gbr messeorganisation,en
at unternehmensgruppe,,at unternehmensgruppe,de
a millitzer brandschutz und,,a millitzer brandschutz und,de
a woehrl spezialtiefbau gmbh,,a woehrl spezialtiefbau gmbh,nl
at schmid gbr messeorganisa,,at schmid gbr messeorganisa,sv
aei,,aei,cy
aen,,aen,cy
afferguson  co,,afferguson  co,en
ageo geometres experts sas,,ageo geometres experts sas,ca
