Raw name,Mapped name,Language
accesos normalizados sl,,es
altaix electronica  sal,,ca
antala locks  accesoris sl,,en
anteral sl,,it
arquimea ingenieria  sl,,ca
a  d environmental services ltd,,ca
a  l goodbody,,cy
a  p  lithos,,en
a  t stationers private limited,,en
a a logistikequipment,,ca
a a z consulting,,ro
a and m portable inc,,en
a arnegger gmbh,,no
a b fluid power ltd,,en
a bis z allround,,en
a e petsche,,it
a e petsche uk limited,,it
a et p  lithos,,en
a foubert visserie sa,,no
a joy wallace,,so
a l dalton,,it
a l movers pvt ltd,,ca
a la une,,it
a lambrue bedachungs gmbh,,id
a latter company ltd,,ca
a m best company inc,,en
a mai international,,it
a metrologie,,it
a novo telecom services,,pt
a paris production,,fr
a pasari  associates,,it
a pesd,,pt
a plus,,fr
a plus avionics corp,,ca
a plus metrologie,,fr
a print,,ro
a proposito internacional desarollo,,es
a r global services consultants,,ca
a r t advanced realtime,,en
a t kearney limited,,en
a v mudrana,,sk
a v optics,,sk
a v optics limited,,en
a v optics ltd,,ca
a weiss erben gmbh,,de
a werner gmbh,,en
a z consulting,,ro
a z pesage,,pt
aa asesores internacionales sc,,es
aa logistikequipment,,et
ab engineering mechanical service division limited,,en
ad environmental services ltd,,ca
ae logistik gmbh  co kg,,et
ao hotel and hostel,,en
ao lieferservice ek,,en
as schneider gastronomiekonzepte,,de
at manufacturing gmbh,,tl
at schmid gbr messeorganisation,,en
at unternehmensgruppe,,de
a millitzer brandschutz und,,de
a woehrl spezialtiefbau gmbh,,de
at schmid gbr messeorganisa,,de
aei,,cy
aen,,cy
afferguson  co,,en
ageo geometres experts sas,,ca
amo finance,,it
at kearney,,en
at kearney gmbh,,en
aw niemeyer gmbh,,pl
a3,,hu
a metrologie,,it
a metrologie sas,,sk
ametrologie,,it
as frucht gmbh  co kg,,en
ãârztekammer berlin,,de
ãâudea seguridad de la informaciãânsl,,pt
ãrztebedarf,,de
ãrztekammer berlin,,de
a1 bootyachtcenter,,en
a1 microwave ltd,,en
a2 research ab,,en
a2b global media,,cy
a2bk,,hu
a2c controle,,it
a2com,,pt
a2com formation,,en
a2e autonomee,,it
a2f advanced advisor for the f,,en
a2f technologies,,en
a2ms,,sw
a2r electronique,,fr
a3m designs ltd,,ca
a3ts association de traiement,,fr
aa access partnership,,en
aa barkassenexkusionen,,fi
aa calibration services llc,,it
aa chear,,en
aa systel sas,,fi
aãâro xv,,pt
aãfalg gaspard partner,,no
aãro traduction,,pt
aaa,,so
aaa dornier technology co ltd,,es
aaa formation,,en
aaa gmbh,,so
aaa miami locksmith inc,,et
aaaf,,so
aac microtec ab,,ca
aachen technical and management,,en
aachen univerisity,,de
aage christensen as,,nl
aai,,so
aai  atlantique automatismes incendie,,fr
aai atlantique automatismes incendi,,fr
aai atlantique automatismes incendie,,fr
aai coporation,,it
aai corporation,,it
aai technologies,,et
aai technologies ltd,,fr
aaitechnologies limited,,et
aalboorg university,,af
aalborg university,,da
aalco metall,,it
aalcometall gmbh,,it
aalernhues hotel ohg,,af
aalto university,,it
aalto university foundation sr,,en
aamc,,so
aamc australia,,et
aan bv,,so
aanderaa data instruments as,,af
aapa  association of asia pacific,,en
aapg europe trading ltd,,af
aapva,,af
aar defense systems  logistics uk,,nl
aar parts trading inc,,en
aaradhana buildtech,,so
aardman animations ltd,,tl
aaron  partners llp,,nl
aaron communication,,it
aaronia ag,,tl
aarpi larrouycastera  cadiou,,es
aarpi lombard semelaigne dupuy,,et
aarse,,af
aas,,so
aas altlasten und asbestsanierung,,de
aas gmbh,,so
aas seminare,,et
aasensio mudanzas sl,,et
aasset security gmbh,,en
aatc,,so
ab anlagenplanung gmbh,,tl
ab aqua medic gmbh,,ca
ab associates,,pt
ab conseil,,pt
ab fluid power ltd,,en
ab logisting,,et
ab logisting sl,,tl
ab millimetre,,et
ab servicios selecta espaãâa s l,,es
ab servicios selecta espana,,es
ab servicos selecta espana slu,,es
ab solving oy,,en
aba,,so
aba ag sas,,tl
aba arbeitsgemeinschaft fuer betrieb,,de
aba ev arbeitsgemeinschaft,,de
aba ev arbeitsgemeinschaft fuer,,de
aba ev arbeitsgemeinschaft fãr,,de
aba ev arbeitsgemeinschaft fuer,,de
abac,,so
abaca press,,ca
abaco systems limited,,en
abaco systems ltd,,en
abadie aluminium sarl,,id
abalia solutions sl,,en
abaques,,ca
abaques audiovisuel,,fr
abaques sas,,ca
abaqus inc,,ca
abaris training,,lt
abaris training resources inc,,en
abast systems and solutions sl,,en
abast systems sa,,en
abb,,so
abb automation,,it
abb automation gmbh,,it
abb automation products gmbh,,en
abb electrical products,,ca
abb france,,it
abb stotzkontakt gmbh,,hu
abba hotel,,hu
abbakan,,id
abbakan france,,id
abbakan sas,,tl
abbakan sas,,tl
abbey industrial solutions ltd,,en
abbia gnss technologies,,it
abbsolute,,it
abbsolute comunicacin sl,,it
abc,,so
abc  appareillage banc hydraulique,,fr
abc arquitectura modular,,ca
abc arquitectura modular sl,,ca
abc beschriftungsbedarf gmbh,,de
abc business,,en
abc business communication,,en
abc container ek,,fr
abc entreprises,,fr
abc justice grand paris,,fr
abc location,,en
abc sevilla sl,,it
abc sevilla sl,,ca
abc solutions ltd,,fr
abcbeschriftungsbedarf gmbh,,de
abcert ag,,en
abcr gmbh,,so
abd affutage,,so
abd druckluft gmbh,,de
abdm ingenieurgesellschaft br,,de
abdou et associes,,fr
abe,,so
abeba spezialschuhausstatter gmbh,,de
abec,,en
abeille  associes,,fr
abel  imray,,so
abel  kaeufl,,da
abel  kaeufl mobilfunkhandels gmbh,,da
abel  ruf gmbh,,de
abelkãâufel,,de
abelruf gmbh,,de
abele ingenieure gmbh,,af
abello linde sa,,it
abeln franz,,de
abenefit2u ltd,,de
abenstein strassen tief und,,de
aberbangor consultancy limited,,en
aberle gmbh,,de
abertis,,de
aberystwyth university,,en
abexamiante,,so
abfallwirtschaftsbetrieb,,de
abfallwirtschaftsgesellschaft,,de
abflussas berlin,,de
abg concept,,es
abg patentes sl,,ca
abgi france,,it
abh stromschienen gmbh,,de
abicht rainer,,de
abil producciones comunicaciones,,es
abilita gmbh,,tl
ability international ltd,,en
abilways ls,,so
abindieboxde,,af
abj,,sk
abj architekten bauingenieure,,nl
abl,,ca
abl system,,da
abl systems,,da
ablaze bristol,,it
able and how limited,,en
able gmbh,,fr
able hydraulics ltd,,cy
able2train,,fr
abler gmbh,,no
abls,,ca
abmg,,tl
abmi,,so
abmi grand ouest,,fr
abmi ile de france,,it
abmi ouest,,fr
abnc property management,,en
abod  associates llc,,en
abond services,,en
abp automationssysteme gmbh,,fr
abrake sl,,sl
abrake sl,,sl
abrasivos y maquinaria sa,,es
abrechnungsorganisation,,de
abri plus equipements,,ca
abs,,so
abs logistik service gmbh,,en
abs service gmbh,,en
absaugtechnik maack,,de
absberufsbekleidung,,de
absc,,ca
absc gmbh,,pl
abschlepp und bergungsdienst,,de
abschlepp und mobilservice mueller,,de
abscoa industries inc uniseal div,,ro
absint,,en
absint angewandte informatik gmbh,,da
absiskey,,da
absl power solutions ltd,,en
absolut,,et
absolut karriere gmbh  co kg,,en
absolut system,,fr
absolut system sas,,fi
absolvent pl sp z o o,,sk
absys cyborg,,cy
abt,,so
abt sorime,,it
abtec gmbh  co kg,,so
abtech safety limited,,en
abtei frauenwuerth,,de
abthaus restaurant u cafe,,ca
abti traduction,,en
abughazaleh international,,id
abus crane systems limited,,en
abus kransysteme gmbh,,da
abus levage france,,fr
abv architekten und bauherren,,de
abwasserzweckverband,,de
abylsen,,da
abylsen gamma,,da
abylsen sigma,,da
abzeitsysteme gmbh,,de
ac  promotorados sl,,es
ac flag and banner inc,,en
ac hotel,,en
ac hotel sevilla niv srlu,,ca
ac painting contractor corp,,en
acs,,ca
ac6,,cy
acadas,,es
acadas gmbh,,so
academie de sophrologie,,fr
academie des sciences,,es
academy,,es
academy beaugrenelle,,cy
academy intensivfahrschule nordheide gmbh,,de
academy of european,,en
academy of european industrial engineers ev,,en
acadian advantage,,id
acal bfi,,ca
acal bfi france sas,,ca
acal bfi uk limited,,ro
acal technology,,en
acando gmbh,,pt
acano uk ltd,,es
acap demenagements,,nl
acatec sl,,ro
acatech deutsche akademie,,de
acatech hauptstadtbuero,,de
acb,,cy
acb sas,,tl
acb solutions,,fr
acc,,it
acc ingenierie,,nl
accede atout,,it
acceed gmbh,,en
accellonet,,it
accellonet consulting gmbh,,en
accelmedia,,it
accelonix,,ro
accelonix ltd,,ca
accemic gmbh  co kg,,en
accemic technologies gmbh,,en
accent johnston limousine inc,,en
accent languages,,ca
accenture,,ro
accenture bv,,ro
accenture gmbh,,ro
accenture llp,,ca
accenture sl,,ro
accenture sas,,ro
accenture services france,,fr
accenture sl,,ro
accenture uk limited,,ro
acces matic sud,,ca
accesos normalizados,,pt
access communications,,fr
access engineering services ltd,,en
access ev,,en
access france,,it
access intelligence llc,,it
access kellyocg gmbh,,en
accessdata group inc,,it
accessory fulfillment center llc,,it
acciaris,,it
acciona,,it
acciona facility services,,en
acciona infraestructuras sa,,es
accipio,,it
accon avm,,it
accon avm accountants bv,,en
accor,,it
accor hospitality germany gmbh,,en
accorhotels germany gmbh,,ca
accorinvest germany gmbh,,en
accorinvest spain sa,,ro
account center llp,,ca
accounting  tax offices,,en
accu pemar sl,,ro
accu pemar sl,,ro
accu vertrieb sd gmbh,,ro
accudyne engineering  equipment,,en
accudyne systems inc,,en
accufleet,,ro
accufleet testing services,,en
accupemar sl,,ro
accuracy,,es
accuracy beijing consulting co,,en
accuracy sau,,ro
accurate cutting services limited,,en
accurate cutting services ltd,,ro
accurex measurement inc,,ro
accutrack systems llc,,en
ace advanced composite,,en
ace education consulting co ltd,,en
ace engineering co ltd,,en
ace engineering coltd,,en
ace european group ltd,,fr
ace fire extinguisher serv inc,,en
ace fire extinguisher serv inc,,en
ace gmbh,,pl
ace handels und entwicklungs,,de
ace hotel,,en
ace industries inc,,en
ace ingenierie,,nl
ace lifts ltd,,en
ace nl b v,,ro
ace parking lot 4250,,tl
ace stossdaempfer gmbh,,pt
ace systems,,en
ace timing,,en
ace2i,,ro
acecho seguridad sl,,es
acellent technologies inc,,fr
acens,,pt
acent integration,,en
aceria,,ro
acesi,,es
aceso mip,,es
acf teambuilding and events,,en
acf teambuilding and events ltd,,en
